,Store ID,City,State,Sales Region,New Expansion,Marketing Spend,Revenue,profit,Ro_MS,Ro_MS%
78,79,Pueblo,Colorado,Region 2,Old,2928,19563,16635,568.0,5.68
79,80,Costa Mesa,California,Region 2,Old,2275,41361,39086,1718.0,17.18
80,81,Garden Grove,California,Region 2,Old,3285,57530,54245,1651.0000000000002,16.51
81,82,Fort Lauderdale,Florida,Region 1,Old,3217,54768,51551,1602.0,16.02
82,83,North Charleston,South Carolina,Region 1,Old,3115,18754,15639,501.99999999999994,5.02
83,84,Cambridge,Massachusetts,Region 1,Old,2779,21286,18507,666.0,6.66
84,85,Greeley,Colorado,Region 2,Old,3277,48796,45519,1389.0,13.89
85,86,Gresham,Oregon,Region 2,Old,2745,19708,16963,618.0,6.18
86,87,Amarillo,Texas,Region 2,Old,3984,56089,52105,1308.0,13.08
87,88,High Point,North Carolina,Region 1,Old,3262,19752,16490,505.99999999999994,5.06
88,89,Vista,California,Region 2,Old,2718,20949,18231,671.0,6.71
89,90,Tacoma,Washington,Region 2,Old,2552,45666,43114,1689.0,16.89
90,91,Mesquite,Texas,Region 2,Old,3072,40779,37707,1227.0,12.27
91,92,Augusta,Georgia,Region 1,Old,2676,47482,44806,1673.9999999999998,16.74
92,93,Elgin,Illinois,Region 1,Old,2553,18215,15662,613.0,6.13
93,94,Aurora,Illinois,Region 1,Old,2685,50650,47965,1786.0,17.86
94,95,Gainesville,Florida,Region 1,Old,2990,48933,45943,1537.0,15.37
95,96,Dayton,Ohio,Region 1,Old,2805,42026,39221,1398.0,13.98
96,97,Wichita Falls,Texas,Region 2,Old,2846,15735,12889,453.0,4.53
97,98,Naperville,Illinois,Region 1,Old,2699,39856,37157,1377.0,13.77
98,99,Clovis,California,Region 2,Old,2901,20669,17768,612.0,6.12
99,100,Billings,Montana,Region 1,Old,3015,20541,17526,581.0,5.81
100,101,Surprise,Arizona,Region 2,Old,2160,33647,31487,1458.0,14.58
101,102,Coral Springs,Florida,Region 1,Old,3079,41319,38240,1242.0,12.42
102,103,Visalia,California,Region 2,Old,2104,45632,43528,2069.0,20.69
103,104,Killeen,Texas,Region 2,Old,2962,43773,40811,1378.0,13.78
104,105,Orange,California,Region 2,Old,2830,36821,33991,1201.0,12.01
105,106,Richardson,Texas,Region 2,Old,3228,22824,19596,607.0,6.07
106,107,South Bend,Indiana,Region 1,Old,3005,21953,18948,631.0,6.31
107,108,Fayetteville,North Carolina,Region 1,Old,3020,51229,48209,1596.0,15.96
108,109,Sioux Falls,South Dakota,Region 1,Old,2947,50583,47636,1616.0,16.16
109,110,Grand Prairie,Texas,Region 2,Old,3131,50895,47764,1526.0,15.26
110,111,Stamford,Connecticut,Region 1,Old,2901,46503,43602,1503.0,15.03
111,112,West Palm Beach,Florida,Region 1,Old,2926,18089,15163,518.0,5.18
112,113,Knoxville,Tennessee,Region 2,Old,3086,56504,53418,1730.9999999999998,17.31
113,114,Renton,Washington,Region 2,Old,2754,44635,41881,1521.0,15.21
114,115,McAllen,Texas,Region 2,Old,2282,43924,41642,1825.0,18.25
115,116,Woodbridge,New Jersey,Region 1,Old,3319,19811,16492,497.0,4.97
116,117,Shreveport,Louisiana,Region 1,Old,3081,56140,53059,1722.0,17.22
117,118,Bellevue,Washington,Region 2,Old,2542,40462,37920,1492.0,14.92
118,119,Huntington Beach,California,Region 2,Old,2527,54145,51618,2043.0,20.43
119,120,Santa Clarita,California,Region 2,Old,2967,51882,48915,1648.9999999999998,16.49
120,121,Sterling Heights,Michigan,Region 1,Old,2357,35022,32665,1386.0,13.86
121,122,Mobile,Alabama,Region 1,Old,2838,49290,46452,1637.0,16.37
122,123,Bridgeport,Connecticut,Region 1,Old,2914,47108,44194,1517.0,15.17
123,124,Daly City,California,Region 2,Old,2658,20703,18045,679.0,6.79
124,125,Rochester,Minnesota,Region 1,Old,2854,18099,15245,534.0,5.34
125,126,Sandy Springs,Georgia,Region 1,Old,2759,18942,16183,587.0,5.87
126,127,Cedar Rapids,Iowa,Region 1,Old,2553,52072,49519,1939.9999999999998,19.4
127,128,Columbus,Georgia,Region 1,Old,2877,55203,52326,1819.0000000000002,18.19
128,129,Moreno Valley,California,Region 2,Old,3507,59254,55747,1590.0,15.9
129,130,Pompano Beach,Florida,Region 1,Old,2608,21603,18995,728.0,7.28
130,131,Savannah,Georgia,Region 1,Old,2028,36029,34001,1677.0,16.77
131,132,West Jordan,Utah,Region 2,Old,2773,21056,18283,659.0,6.59
132,133,Des Moines,Iowa,Region 1,Old,2995,57432,54437,1818.0,18.18
133,134,Green Bay,Wisconsin,Region 1,Old,3586,18454,14868,415.00000000000006,4.15
134,135,Santa Rosa,California,Region 2,Old,3067,59060,55993,1826.0000000000002,18.26
135,136,San Mateo,California,Region 2,Old,1811,19426,17615,973.0,9.73
136,137,Warren,Michigan,Region 1,Old,2736,47262,44526,1627.0,16.27
137,138,Norwalk,California,Region 2,Old,3112,19703,16591,533.0,5.33
138,139,Lafayette,Louisiana,Region 1,Old,2603,40255,37652,1446.0,14.46
139,140,Providence,Rhode Island,Region 1,Old,3191,62337,59146,1854.0,18.54
140,141,Chattanooga,Tennessee,Region 2,New,3587,55357,51770,1443.0,14.43
141,142,Tempe,Arizona,Region 2,New,2911,48954,46043,1582.0,15.82
142,143,Joliet,Illinois,Region 1,New,3279,48315,45036,1373.0,13.73
143,144,Rancho Cucamonga,California,Region 2,New,2945,52366,49421,1678.0,16.78
144,145,Glendale,California,Region 2,New,2363,49376,47013,1989.9999999999998,19.9
145,146,Paterson,New Jersey,Region 1,New,2251,34603,32352,1437.0,14.37
146,147,Brownsville,Texas,Region 2,New,3675,63148,59473,1618.0,16.18
147,148,Rockford,Illinois,Region 1,New,2648,43377,40729,1538.0,15.38
148,149,College Station,Texas,Region 2,New,2994,22457,19463,650.0,6.5
149,150,Thousand Oaks,California,Region 2,New,2431,40141,37710,1551.0,15.51
